Instant food products,Dried food that reconstitutes when water is added ,Miscellaneous 
UHT-milk,Ultra high temperature processed milk,Dairy Products 
abrasive cleaner,Mechanical cleaners ,Cleaning Items 
Artificial sweetener,Substitute for sugar,Grocery Items
baby cosmetics,Cosmetic Product ,Baby Products 
baby food,"Soft, easily consumed food for babies ",Baby Products 
bags,Shopping bags ,Miscellaneous 
baking powder,Cake ingredient ,Grocery Items
bathroom cleaner,Chemical cleaner ,Cleaning Items 
beef,"Meat: ""Cow"" ",Fish and Meat 
berries,Fruit Item,Fruits and Vegetables 
beverages,A drink item ,Beverages 
bottled beer,Alcoholic beverage ,Liquor
bottled water,bottled water,Beverages 
brandy,Alcoholic beverage,Liquor
brown bread,"Bread: ""Bakery Product"" ",Bakery Products 
butter,Dairy Product ,Dairy Products 
butter milk,Dairy Product 2,Dairy Products 
cake bar,Bakery Product 2,Bakery Products 
candles,Miscellaneous Item,Miscellaneous 
candy,Sweet Product,Grocery Items
canned beer,Alcoholic beverage ,Liquor
canned fish,Canned food item ,Grocery Items
canned fruit,Canned food item 2,Grocery Items
canned vegetables,Canned food item 3,Grocery Items
cat food,Animal food item ,Pet Food
cereals,Breakfast food item ,Grocery Items
chewing gum,Miscellaneous Item 2,Miscellaneous 
chicken,"Meat: ""Chicken"" ",Fish and Meat 
chocolate,Sweet Item 2,Grocery Items
chocolate marshmallow,Sweet Item 3,Grocery Items
citrus fruit,Fruit Item,Fruits and Vegetables 
cleaner,Cleaning product,Cleaning Items 
cling film/bags,Food Wrapper,Miscellaneous 
cocoa drinks,Beverage ,Beverages 
coffee,Coffee Powder,Grocery Items
condensed milk,Bakery Product 3,Grocery Items
cooking chocolate,Bakery Product 4,Grocery Items
cookware,Cooking Utensils ,Kitchenware
cream,Cosmetic Product 2,Cosmetic Item
cream cheese ,Dairy Product 3,Dairy Products 
curd,Dairy Product 4,Dairy Products 
curd cheese,Dairy Product 5,Dairy Products 
decalcifier,Miscellaneous Item 3,Miscellaneous 
dental care,Hygienic Product ,Miscellaneous 
dessert,Sweet Item 4,Bakery Products 
detergent,Cleaning product 2,Cleaning Items 
dish cleaner,Cleaning Product 5,Cleaning Items 
dishes,Cooking Utensils  2,Kitchenware
dog food,Animal food item ,Pet Food
domestic eggs,Dairy Product 6,Grocery Items
female sanitary products,Hygienic Items 2,Miscellaneous 
finished products,Finished products ,Miscellaneous 
fish,Fish,Fish and Meat 
flour,Cake ingredient 2,Grocery Items
flower (seeds),Flower seed,Gardening Product
flower soil/fertilizer,Fertilizer ,Gardening Product
frankfurter,Processed Meat Product,Processed Meat Products
frozen chicken,Frozen food item ,Frozen Food Items
frozen dessert,Frozen food item 2,Frozen Food Items
frozen fish,Frozen food item 3,Frozen Food Items
