"rules","support","confidence","lift"
"11","{cereals} => {whole milk}",0.00366039654295882,0.642857142857143,2.51591723040191
"8","{cereals} => {yogurt}",0.00213523131672598,0.375,2.68813775510204
"10","{cereals} => {other vegetables}",0.00203355363497712,0.357142857142857,1.84576983709932
"6","{cereals} => {root vegetables}",0.00132180986273513,0.232142857142857,2.12978078358209
"1","{cereals} => {curd}",0.00111845449923742,0.196428571428571,3.68678435114504
"9","{cereals} => {rolls/buns}",0.00111845449923742,0.196428571428571,1.06792426755113
"2","{cereals} => {domestic eggs}",0.00101677681748856,0.178571428571429,2.81450320512821
"3","{cereals} => {whipped/sour cream}",0.00101677681748856,0.178571428571429,2.49113475177305
"4","{cereals} => {pastry}",0.00101677681748856,0.178571428571429,2.00714285714286
"5","{cereals} => {tropical fruit}",0.00101677681748856,0.178571428571429,1.70179263565891
"7","{cereals} => {soda}",0.00101677681748856,0.178571428571429,1.02405247813411
