"rules","support","confidence","lift"
"12","{chocolate marshmallow} => {whole milk}",0.00315200813421454,0.348314606741573,1.36318112109167
"8","{chocolate marshmallow} => {soda}",0.00244026436197255,0.269662921348315,1.5464343040587
"10","{chocolate marshmallow} => {rolls/buns}",0.00223690899847483,0.247191011235955,1.34390469624412
"11","{chocolate marshmallow} => {other vegetables}",0.00203355363497712,0.224719101123595,1.16138326828721
"5","{chocolate marshmallow} => {domestic eggs}",0.00183019827147941,0.202247191011236,3.18766205704408
"7","{chocolate marshmallow} => {tropical fruit}",0.00183019827147941,0.202247191011236,1.92742356937549
"3","{chocolate marshmallow} => {chocolate}",0.0016268429079817,0.179775280898876,3.62313501565666
"9","{chocolate marshmallow} => {yogurt}",0.00152516522623284,0.168539325842697,1.20815180004586
"1","{chocolate marshmallow} => {candy}",0.00142348754448399,0.157303370786517,5.26217228464419
"2","{chocolate marshmallow} => {waffles}",0.00142348754448399,0.157303370786517,4.09280066583437
"4","{chocolate marshmallow} => {pork}",0.00142348754448399,0.157303370786517,2.72853377722292
"6","{chocolate marshmallow} => {pastry}",0.00142348754448399,0.157303370786517,1.76808988764045
