"rules","support","confidence","lift"
"10","{dessert} => {whole milk}",0.0137264870360956,0.36986301369863,1.44751402297096
"9","{dessert} => {other vegetables}",0.0115912557193696,0.312328767123288,1.61416364932083
"6","{dessert} => {soda}",0.00986273512963904,0.265753424657534,1.52401453732178
"7","{dessert} => {yogurt}",0.00986273512963904,0.265753424657534,1.90501817165222
"8","{dessert} => {rolls/buns}",0.00681240467717336,0.183561643835616,0.997970573313039
"4","{dessert} => {tropical fruit}",0.00630401626842908,0.16986301369863,1.61880110438569
"2","{dessert} => {shopping bags}",0.00620233858668022,0.167123287671233,1.69624100541442
"1","{dessert} => {fruit/vegetable juice}",0.00599898322318251,0.161643835616438,2.23595938577732
"3","{dessert} => {sausage}",0.00589730554143366,0.158904109589041,1.69136571191366
"5","{dessert} => {root vegetables}",0.0057956278596848,0.156164383561644,1.43272081373952
