"rules","support","confidence","lift"
"11","{dog food} => {whole milk}",0.00294865277071683,0.345238095238095,1.35114073484547
"10","{dog food} => {other vegetables}",0.00223690899847483,0.261904761904762,1.35356454720617
"8","{dog food} => {yogurt}",0.00193187595322827,0.226190476190476,1.62141642371234
"3","{dog food} => {shopping bags}",0.00183019827147941,0.214285714285714,2.17492260061919
"7","{dog food} => {soda}",0.00183019827147941,0.214285714285714,1.22886297376093
"5","{dog food} => {tropical fruit}",0.0016268429079817,0.19047619047619,1.81524547803618
"1","{dog food} => {fruit/vegetable juice}",0.00152516522623284,0.178571428571429,2.47011251758087
"2","{dog food} => {citrus fruit}",0.00142348754448399,0.166666666666667,2.01371826371826
"4","{dog food} => {bottled water}",0.00142348754448399,0.166666666666667,1.50797301441276
"6","{dog food} => {root vegetables}",0.00142348754448399,0.166666666666667,1.52907338308458
"9","{dog food} => {rolls/buns}",0.00132180986273513,0.154761904761905,0.841394877464529
