"rules","support","confidence","lift"
"11","{domestic eggs} => {whole milk}",0.0299949161159126,0.47275641025641,1.85020266409542
"10","{domestic eggs} => {other vegetables}",0.0222674123029995,0.350961538461538,1.81382382068798
"9","{domestic eggs} => {rolls/buns}",0.0156583629893238,0.246794871794872,1.34175100282065
"6","{domestic eggs} => {root vegetables}",0.0143365531265887,0.225961538461538,2.07307064437428
"8","{domestic eggs} => {yogurt}",0.0143365531265887,0.225961538461538,1.61977531397174
"7","{domestic eggs} => {soda}",0.0124046771733604,0.195512820512821,1.1212061747776
"5","{domestic eggs} => {tropical fruit}",0.0113879003558719,0.179487179487179,1.71051977738024
"3","{domestic eggs} => {citrus fruit}",0.0103711235383833,0.163461538461538,1.97499291249291
"2","{domestic eggs} => {whipped/sour cream}",0.0099644128113879,0.157051282051282,2.19092107655937
"1","{domestic eggs} => {butter}",0.00965937976614133,0.15224358974359,2.74736826629028
"4","{domestic eggs} => {sausage}",0.00955770208439248,0.150641025641026,1.60341394716395
