"rules","support","confidence","lift"
"15","{flour} => {whole milk}",0.00843924758515506,0.485380116959064,1.89960742152503
"14","{flour} => {other vegetables}",0.00630401626842908,0.362573099415205,1.87383417380375
"1","{flour} => {sugar}",0.00498220640569395,0.286549707602339,8.46311223504206
"12","{flour} => {yogurt}",0.00488052872394509,0.280701754385965,2.01217329036878
"10","{flour} => {root vegetables}",0.00467717336044738,0.269005847953216,2.46797809199616
"6","{flour} => {whipped/sour cream}",0.00406710726995425,0.233918128654971,3.26324084442785
"4","{flour} => {margarine}",0.00376207422470768,0.216374269005848,3.69451551332034
"13","{flour} => {rolls/buns}",0.00376207422470768,0.216374269005848,1.17636314851991
"5","{flour} => {domestic eggs}",0.0032536858159634,0.187134502923977,2.94946768630979
"7","{flour} => {citrus fruit}",0.0032536858159634,0.187134502923977,2.2610169978591
"9","{flour} => {tropical fruit}",0.0032536858159634,0.187134502923977,1.7833990661408
"3","{flour} => {curd}",0.00315200813421454,0.181286549707602,3.4025824739967
"2","{flour} => {beef}",0.00284697508896797,0.16374269005848,3.12094836574641
"11","{flour} => {soda}",0.00284697508896797,0.16374269005848,0.939014202172097
"8","{flour} => {bottled water}",0.00274529740721912,0.157894736842105,1.42860601365419
