"rules","support","confidence","lift"
"10","{frozen fish} => {whole milk}",0.00498220640569395,0.426086956521739,1.66755480198619
"9","{frozen fish} => {other vegetables}",0.00467717336044738,0.4,2.06726221755123
"7","{frozen fish} => {yogurt}",0.0032536858159634,0.278260869565217,1.99467613132209
"6","{frozen fish} => {root vegetables}",0.00264361972547026,0.226086956521739,2.07422128487995
"5","{frozen fish} => {tropical fruit}",0.0025419420437214,0.217391304347826,2.07174755645433
"8","{frozen fish} => {rolls/buns}",0.00244026436197255,0.208695652173913,1.13461677121638
"3","{frozen fish} => {margarine}",0.00213523131672598,0.182608695652174,3.11798007246377
"4","{frozen fish} => {pip fruit}",0.00213523131672598,0.182608695652174,2.41392005610098
"2","{frozen fish} => {pork}",0.00203355363497712,0.173913043478261,3.01663982823403
"1","{frozen fish} => {frozen vegetables}",0.00183019827147941,0.156521739130435,3.2545270705028
