"rules","support","confidence","lift"
"12","{frozen potato products} => {whole milk}",0.00345704117946111,0.409638554216867,1.60318152834178
"8","{frozen potato products} => {soda}",0.00274529740721912,0.325301204819277,1.86550282763708
"11","{frozen potato products} => {other vegetables}",0.00264361972547026,0.313253012048193,1.61894029085338
"9","{frozen potato products} => {yogurt}",0.00223690899847483,0.265060240963855,1.90004917629703
"10","{frozen potato products} => {rolls/buns}",0.00203355363497712,0.240963855421687,1.31004948483819
"3","{frozen potato products} => {fruit/vegetable juice}",0.0016268429079817,0.192771084337349,2.66653110331622
"2","{frozen potato products} => {frankfurter}",0.00152516522623284,0.180722891566265,3.06449937681762
"5","{frozen potato products} => {pastry}",0.00152516522623284,0.180722891566265,2.03132530120482
"7","{frozen potato products} => {root vegetables}",0.00152516522623284,0.180722891566265,1.65803137924834
"1","{frozen potato products} => {pork}",0.00132180986273513,0.156626506024096,2.7167930983192
"4","{frozen potato products} => {pip fruit}",0.00132180986273513,0.156626506024096,2.07045925638036
"6","{frozen potato products} => {sausage}",0.00132180986273513,0.156626506024096,1.66712303760497
