"rules","support","confidence","lift"
"10","{frozen vegetables} => {whole milk}",0.0204372140315201,0.424947145877378,1.66309398316913
"9","{frozen vegetables} => {other vegetables}",0.0177935943060498,0.369978858350951,1.91210828790416
"7","{frozen vegetables} => {yogurt}",0.0124046771733604,0.257928118393235,1.84892350174742
"5","{frozen vegetables} => {root vegetables}",0.0115912557193696,0.241014799154334,2.2111758858982
"8","{frozen vegetables} => {rolls/buns}",0.0101677681748856,0.211416490486258,1.14940916745846
"4","{frozen vegetables} => {tropical fruit}",0.00874428063040163,0.181818181818182,1.73273431994362
"6","{frozen vegetables} => {soda}",0.00864260294865277,0.179704016913319,1.03054752556414
"2","{frozen vegetables} => {whipped/sour cream}",0.00793085917641078,0.164904862579281,2.3004813098826
"1","{frozen vegetables} => {fruit/vegetable juice}",0.00782918149466192,0.162790697674419,2.25182350439931
"3","{frozen vegetables} => {pip fruit}",0.00732079308591764,0.152219873150106,2.01220759735388
