"rules","support","confidence","lift"
"10","{grapes} => {other vegetables}",0.0090493136756482,0.404545454545455,2.09075383365977
"11","{grapes} => {whole milk}",0.00732079308591764,0.327272727272727,1.28083059002279
"5","{grapes} => {tropical fruit}",0.00610066090493137,0.272727272727273,2.59910147991543
"9","{grapes} => {rolls/buns}",0.00477885104219624,0.213636363636364,1.16147796371677
"8","{grapes} => {yogurt}",0.00467717336044738,0.209090909090909,1.49884044526902
"6","{grapes} => {root vegetables}",0.00447381799694967,0.2,1.83488805970149
"4","{grapes} => {bottled water}",0.00437214031520081,0.195454545454545,1.7684410805386
"7","{grapes} => {soda}",0.00406710726995425,0.181818181818182,1.04267161410019
"2","{grapes} => {pastry}",0.00386375190645653,0.172727272727273,1.94145454545455
"3","{grapes} => {citrus fruit}",0.00386375190645653,0.172727272727273,2.08694438239893
"1","{grapes} => {pip fruit}",0.00376207422470768,0.168181818181818,2.22320992179863
