"rules","support","confidence","lift"
"13","{herbs} => {other vegetables}",0.00772750381291307,0.475,2.45487388334209
"14","{herbs} => {whole milk}",0.00772750381291307,0.475,1.85898328690808
"10","{herbs} => {root vegetables}",0.00701576004067107,0.43125,3.95647737873134
"11","{herbs} => {yogurt}",0.00355871886120996,0.21875,1.56808035714286
"5","{herbs} => {whipped/sour cream}",0.00315200813421454,0.19375,2.70288120567376
"8","{herbs} => {bottled water}",0.00305033045246568,0.1875,1.69646964121435
"12","{herbs} => {rolls/buns}",0.00305033045246568,0.1875,1.01938225538972
"7","{herbs} => {citrus fruit}",0.00294865277071683,0.18125,2.18991861179361
"2","{herbs} => {beef}",0.00284697508896797,0.175,3.33551356589147
"9","{herbs} => {tropical fruit}",0.00284697508896797,0.175,1.66775678294574
"4","{herbs} => {butter}",0.00274529740721912,0.16875,3.04524082568807
"1","{herbs} => {frozen vegetables}",0.0025419420437214,0.15625,3.24887684989429
"3","{herbs} => {curd}",0.00244026436197255,0.15,2.81536259541985
"6","{herbs} => {pip fruit}",0.00244026436197255,0.15,1.98286290322581
