"rules","support","confidence","lift"
"11","{jam} => {whole milk}",0.00294865277071683,0.547169811320755,2.14143059862301
"6","{jam} => {root vegetables}",0.00193187595322827,0.358490566037736,3.28895029569135
"10","{jam} => {other vegetables}",0.00183019827147941,0.339622641509434,1.7552226375435
"7","{jam} => {soda}",0.00132180986273513,0.245283018867925,1.40662302656912
"9","{jam} => {rolls/buns}",0.00132180986273513,0.245283018867925,1.33353150390605
"2","{jam} => {beef}",0.00122013218098627,0.226415094339623,4.31548924967091
"3","{jam} => {butter}",0.00122013218098627,0.226415094339623,4.08585771161503
"4","{jam} => {bottled water}",0.00122013218098627,0.226415094339623,2.04856711391922
"8","{jam} => {yogurt}",0.00122013218098627,0.226415094339623,1.62302656911821
"5","{jam} => {tropical fruit}",0.00111845449923742,0.207547169811321,1.97793257276583
"1","{jam} => {coffee}",0.00101677681748856,0.188679245283019,3.24984304265935
