"rules","support","confidence","lift"
"11","{kitchen towels} => {whole milk}",0.00274529740721912,0.457627118644068,1.79099192672678
"10","{kitchen towels} => {other vegetables}",0.00223690899847483,0.372881355932203,1.9271088468698
"5","{kitchen towels} => {tropical fruit}",0.00132180986273513,0.220338983050847,2.09983904874524
"6","{kitchen towels} => {root vegetables}",0.00132180986273513,0.220338983050847,2.02148684543385
"2","{kitchen towels} => {coffee}",0.00122013218098627,0.203389830508475,3.50322063581585
"7","{kitchen towels} => {soda}",0.00122013218098627,0.203389830508475,1.16637841577309
"8","{kitchen towels} => {yogurt}",0.00122013218098627,0.203389830508475,1.45797301971636
"9","{kitchen towels} => {rolls/buns}",0.00122013218098627,0.203389830508475,1.10577058211766
"1","{kitchen towels} => {salty snack}",0.00101677681748856,0.169491525423729,4.48104610898487
"3","{kitchen towels} => {napkins}",0.00101677681748856,0.169491525423729,3.23679447095606
"4","{kitchen towels} => {pip fruit}",0.00101677681748856,0.169491525423729,2.24052305449244
