"rules","support","confidence","lift"
"10","{onions} => {other vegetables}",0.0142348754448399,0.459016393442623,2.37226811850142
"11","{onions} => {whole milk}",0.0120996441281139,0.390163934426229,1.52696470158455
"6","{onions} => {root vegetables}",0.00945602440264362,0.304918032786885,2.79745228774162
"8","{onions} => {yogurt}",0.00721911540416879,0.232786885245902,1.66870190699231
"9","{onions} => {rolls/buns}",0.00681240467717336,0.219672131147541,1.19429265330905
"4","{onions} => {bottled water}",0.00589730554143366,0.19016393442623,1.72057248857587
"5","{onions} => {tropical fruit}",0.00569395017793594,0.183606557377049,1.74977760833651
"3","{onions} => {citrus fruit}",0.00559227249618709,0.180327868852459,2.17877713779353
"7","{onions} => {soda}",0.00528723945094052,0.170491803278689,0.977718300434928
"2","{onions} => {whipped/sour cream}",0.00508388408744281,0.163934426229508,2.2869433786769
"1","{onions} => {domestic eggs}",0.00488052872394509,0.157377049180328,2.48045397225725
