"rules","support","confidence","lift"
"12","{processed cheese} => {whole milk}",0.00701576004067107,0.423312883435583,1.65669805355709
"11","{processed cheese} => {other vegetables}",0.00549059481443823,0.331288343558282,1.71214968938292
"8","{processed cheese} => {soda}",0.00528723945094052,0.319018404907975,1.82947289345186
"10","{processed cheese} => {rolls/buns}",0.00467717336044738,0.282208588957055,1.53428494880743
"6","{processed cheese} => {tropical fruit}",0.00427046263345196,0.257668711656442,2.45559280924526
"2","{processed cheese} => {white bread}",0.0041687849517031,0.251533742331288,5.9754453039329
"5","{processed cheese} => {sausage}",0.00335536349771225,0.202453987730061,2.15490797546012
"7","{processed cheese} => {root vegetables}",0.00315200813421454,0.190184049079755,1.74483220401062
"1","{processed cheese} => {ham}",0.00305033045246568,0.184049079754601,7.07079179447853
"3","{processed cheese} => {fruit/vegetable juice}",0.00294865277071683,0.177914110429448,2.46102007886585
"4","{processed cheese} => {pastry}",0.00294865277071683,0.177914110429448,1.99975460122699
"9","{processed cheese} => {yogurt}",0.00264361972547026,0.159509202453988,1.14342055840741
