waffles,sweet spreads,ice cream,artif. sweetener,sauces,canned beer,sweet spreads,chewing gum,whisky,pet care,,,,,,,
ice cream,chewing gum,chewing gum,liqueur,pudding powder,ice cream,beverages,ice cream,detergent,organic products,canned fish,soups,liver loaf,waffles,,,
waffles,pickled vegetables,chewing gum,rolls/buns,ice cream,spread cheese,hygiene articles,herbs,,,,,,,,,
semi-finished bread,house keeping products,frozen potato products,ice cream,salad dressing,chewing gum,liquor (appetizer),tidbits,tropical fruit,waffles,spread cheese,,,,,,
ice cream,pot plants,waffles,chewing gum,tidbits,,,,,,,,,,,,
beef,chewing gum,ice cream,frozen fruits,waffles,hair spray,root vegetables,soap,liver loaf,,,,,,,,
beverages,nuts/prunes,chewing gum,soap,waffles,sweet spreads,mustard,ice cream,oil,specialty fat,,,,,,,
bottled water,tea,turkey,mustard,bottled beer,ice cream,chewing gum,waffles,domestic eggs,white bread,,,,,,,
waffles,ice cream,house keeping products,hard cheese,spices,pickled vegetables,specialty cheese,abrasive cleaner,coffee,pudding powder,chewing gum,,,,,,
salty snack,specialty fat,pasta,house keeping products,processed cheese,candy,ice cream,baby food,skin care,waffles,fruit/vegetable juice,chewing gum,,,,,
waffles,instant coffee,ice cream,make up remover,pot plants,bathroom cleaner,chewing gum,cling film/bags,hamburger meat,cleaner,dessert,ketchup,chicken,margarine,,,
whole milk,chewing gum,waffles,butter milk,ice cream,whipped/sour cream,,,,,,,,,,,
flour,waffles,white bread,ice cream,chewing gum,,,,,,,,,,,,
waffles,dessert,chewing gum,jam,ketchup,vinegar,meat spreads,ice cream,cat food,,,,,,,,
vinegar,waffles,cat food,frankfurter,canned vegetables,decalcifier,ice cream,fish,chewing gum,canned fish,,,,,,,
skin care,red/blush wine,nut snack,ice cream,dishes,chewing gum,canned vegetables,butter milk,liquor,waffles,,,,,,,
frozen vegetables,waffles,chewing gum,white bread,flower soil/fertilizer,ice cream,,,,,,,,,,,
chicken,pet care,chewing gum,ice cream,specialty chocolate,waffles,seasonal products,male cosmetics,rice,,,,,,,,
waffles,ice cream,frankfurter,ice cream,chewing gum,margarine,cocoa drinks,soups,,,,,,,,,
waffles,pet care,beef,ice cream,chewing gum,,,,,,,,,,,,
chewing gum,waffles,ice cream,pip fruit,sausage,pickled vegetables,,,,,,,,,,,
popcorn,chewing gum,ice cream,decalcifier,bottled water,waffles,misc. beverages,other vegetables,spices,frankfurter,,,,,,,
bathroom cleaner,chewing gum,baby cosmetics,waffles,rice,canned vegetables,canned fish,ice cream,tidbits,meat spreads,,,,,,,
waffles,popcorn,chewing gum,ice cream,,,,,,,,,,,,,
specialty fat,margarine,frozen fish,ice cream,beef,detergent,waffles,chewing gum,,,,,,,,,
bottled beer,waffles,tropical fruit,cookware,ice cream,chewing gum,,,,,,,,,,,
pudding powder,canned beer,waffles,chewing gum,ice cream,,,,,,,,,,,,
rubbing alcohol,waffles,sugar,chewing gum,ice cream,brown bread,white wine,,,,,,,,,,
processed cheese,soft cheese,margarine,waffles,ice cream,light bulbs,chewing gum,canned fish,white bread,,,,,,,,
cream cheese ,chewing gum,ice cream,candy,canned fish,waffles,popcorn,curd,,,,,,,,,
spices,kitchen utensil,waffles,jam,berries,artif. sweetener,cereals,chewing gum,ice cream,,,,,,,,
soft cheese,waffles,whipped/sour cream,chewing gum,ice cream,,,,,,,,,,,,
waffles,chewing gum,ice cream,liquor,soap,honey,white bread,,,,,,,,,,
whisky,vinegar,waffles,chewing gum,ice cream,frozen fruits,,,,,,,,,,,
waffles,ready soups,potato products,rolls/buns,liquor,cream,decalcifier,cookware,ice cream,chewing gum,,,,,,,
chewing gum,white wine,ice cream,waffles,,,,,,,,,,,,,
