specialty cheese,chewing gum,,,,,,,,,,,,
pork,root vegetables,onions,bottled water,soda,,,,,,,,,
citrus fruit,tropical fruit,root vegetables,other vegetables,whole milk,yogurt,sliced cheese,hard cheese,specialty cheese,dog food,bottled water,newspapers,,
bottled beer,white wine,,,,,,,,,,,,
other vegetables,butter milk,rolls/buns,oil,bottled water,fruit/vegetable juice,softener,dishes,,,,,,
frankfurter,beef,pip fruit,whole milk,yogurt,whipped/sour cream,cream cheese ,frozen vegetables,flour,margarine,canned vegetables,pickled vegetables,coffee,bottled water
canned beer,,,,,,,,,,,,,
citrus fruit,tropical fruit,dessert,condensed milk,margarine,,,,,,,,,
other vegetables,white bread,,,,,,,,,,,,
citrus fruit,root vegetables,other vegetables,whole milk,whipped/sour cream,soft cheese,frozen vegetables,white bread,flour,margarine,baking powder,waffles,hygiene articles,
whole milk,cream cheese ,salty snack,candy,,,,,,,,,,
soda,fruit/vegetable juice,cake bar,candy,candles,,,,,,,,,
other vegetables,,,,,,,,,,,,,
pip fruit,,,,,,,,,,,,,
canned beer,,,,,,,,,,,,,
tropical fruit,other vegetables,whole milk,curd,butter milk,yogurt,whipped/sour cream,cream cheese ,rolls/buns,pastry,,,,
root vegetables,onions,other vegetables,frozen fruits,canned beer,,,,,,,,,
other vegetables,whole milk,yogurt,rolls/buns,newspapers,,,,,,,,,
root vegetables,other vegetables,yogurt,rolls/buns,flour,,,,,,,,,
bottled water,,,,,,,,,,,,,
whole milk,,,,,,,,,,,,,
root vegetables,whole milk,roll products ,,,,,,,,,,,
tropical fruit,pip fruit,other vegetables,frozen vegetables,ice cream,brown bread,pastry,flour,pickled vegetables,coffee,soda,misc. beverages,fruit/vegetable juice,
butter,curd,dessert,cream cheese ,canned beer,candy,shopping bags,,,,,,,
flower soil/fertilizer,,,,,,,,,,,,,
pasta,soda,snack products,cake bar,,,,,,,,,,
other vegetables,dessert,candy,abrasive cleaner,dishes,cling film/bags,candles,,,,,,,
other vegetables,curd,yogurt,UHT-milk,brown bread,bottled water,newspapers,shopping bags,,,,,,
beef,,,,,,,,,,,,,
root vegetables,,,,,,,,,,,,,
whole milk,frozen vegetables,coffee,,,,,,,,,,,
pork,root vegetables,other vegetables,whole milk,butter,whipped/sour cream,processed cheese,domestic eggs,rolls/buns,white bread,pastry,jam,soda,waffles
beef,other vegetables,,,,,,,,,,,,
specialty bar,,,,,,,,,,,,,
salty snack,,,,,,,,,,,,,
sausage,ham,grapes,other vegetables,bottled water,misc. beverages,brandy,shopping bags,,,,,,
tropical fruit,frozen meals,rolls/buns,bottled beer,newspapers,,,,,,,,,
canned beer,,,,,,,,,,,,,
pip fruit,grapes,whole milk,yogurt,spread cheese,brown bread,semi-finished bread,rice,pickled vegetables,bottled beer,newspapers,pot plants,,
turkey,,,,,,,,,,,,,
other vegetables,,,,,,,,,,,,,
sausage,beef,citrus fruit,tropical fruit,nuts/prunes,root vegetables,other vegetables,whole milk,mayonnaise,oil,baking powder,pickled vegetables,chocolate,newspapers
frankfurter,pip fruit,nuts/prunes,onions,specialty cheese,brown bread,soda,fruit/vegetable juice,salty snack,chocolate,male cosmetics,shopping bags,,
citrus fruit,whole milk,soft cheese,rice,margarine,sugar,soups,bottled water,,,,,,
chicken,pork,frozen vegetables,soda,,,,,,,,,,
citrus fruit,tropical fruit,other vegetables,whole milk,butter,yogurt,whipped/sour cream,soft cheese,sliced cheese,hard cheese,roll products ,margarine,soda,misc. beverages
flour,sugar,cat food,misc. beverages,waffles,,,,,,,,,
baking powder,,,,,,,,,,,,,
finished products,tropical fruit,pip fruit,other vegetables,whole milk,frozen fish,pastry,canned fish,seasonal products,dental care,hygiene articles,pot plants,,
frankfurter,rolls/buns,margarine,soda,,,,,,,,,,
chicken,curd,UHT-milk,cream cheese ,margarine,coffee,salty snack,waffles,dishes,,,,,
chicken,other vegetables,whole milk,domestic eggs,oil,margarine,sugar,coffee,bottled beer,specialty bar,candy,,,
sausage,beef,whole milk,pastry,,,,,,,,,,
beef,other vegetables,margarine,soda,,,,,,,,,,
whole milk,frozen meals,specialty chocolate,,,,,,,,,,,
sausage,other vegetables,,,,,,,,,,,,
other vegetables,pot plants,,,,,,,,,,,,
onions,roll products ,,,,,,,,,,,,
sausage,root vegetables,onions,herbs,other vegetables,UHT-milk,hard cheese,cream cheese ,frozen vegetables,rolls/buns,bottled water,soda,bottled beer,red/blush wine
frankfurter,sausage,tropical fruit,oil,spices,pickled vegetables,bottled water,misc. beverages,,,,,,
zwieback,long life bakery product,dental care,,,,,,,,,,,
chicken,tropical fruit,pip fruit,whipped/sour cream,sugar,baking powder,instant coffee,soda,,,,,,
frankfurter,curd cheese,,,,,,,,,,,,
whole milk,whipped/sour cream,semi-finished bread,baking powder,pickled vegetables,bottled water,soda,napkins,,,,,,
frozen fish,brandy,,,,,,,,,,,,
berries,whole milk,frozen meals,frozen dessert,rolls/buns,soda,shopping bags,,,,,,,
chicken,pork,other vegetables,whole milk,butter,curd,margarine,pickled vegetables,waffles,specialty chocolate,hygiene articles,,,
onions,yogurt,ice cream,,,,,,,,,,,
beef,root vegetables,herbs,packaged fruit/vegetables,whipped/sour cream,cream cheese ,vinegar,oil,margarine,soups,pickled vegetables,meat spreads,canned fish,fruit/vegetable juice
root vegetables,whole milk,semi-finished bread,cat food,fruit/vegetable juice,canned beer,liquor (appetizer),waffles,hygiene articles,newspapers,shopping bags,,,
soda,,,,,,,,,,,,,
whole milk,soft cheese,rum,,,,,,,,,,,
citrus fruit,butter,dessert,processed cheese,white bread,pickled vegetables,seasonal products,dental care,,,,,,
sausage,citrus fruit,whole milk,UHT-milk,specialty cheese,frozen vegetables,tea,bottled water,fruit/vegetable juice,,,,,
sparkling wine,,,,,,,,,,,,,
UHT-milk,cat food,coffee,bottled beer,white wine,sparkling wine,shopping bags,,,,,,,
soda,,,,,,,,,,,,,
curd,cat food,soda,,,,,,,,,,,
whole milk,processed cheese,mayonnaise,margarine,mustard,cat food,coffee,bottled water,,,,,,
frankfurter,pork,tropical fruit,root vegetables,other vegetables,whole milk,curd,butter milk,yogurt,frozen dessert,chewing gum,,,
chocolate,,,,,,,,,,,,,
other vegetables,processed cheese,tea,,,,,,,,,,,
coffee,,,,,,,,,,,,,
tropical fruit,other vegetables,butter milk,curd cheese,sugar,fruit/vegetable juice,bottled beer,chocolate,candles,,,,,
beef,fish,yogurt,pastry,soda,specialty chocolate,,,,,,,,
